Sr.no.,Text in meme,Ctaegory
0551.jpg,When the toilet stall door doesn't have a lock,F
0552.jpg,Your current profile picture 5 years ago facebook memory,A
0553.jpg,"when your crush sends you ""Happy Friendship Day"" message",F
0554.jpg,when you are in your 6th year of PhD and still your work seems incomplete,C
0555.jpg,"When you run out of sources for an essay:        I was there, 3000 years ago...",C
0556.jpg,ALL QUIET ON THE PSG FRONT,D
0557.jpg,After my awful presentation      me.  The class.  My teacher.   My friends.  ,C
0558.jpg,Netflix: Are you still there?  Me:I don't know anymore ,F
0559.jpg,I wonder how many miles I've scrolled with my thumb ,F
0560.jpg,ChatGPT after having to deal with humans every day,A
0561.jpg,450+50. Delivery.          500+Free. Delivery ,F
0562.jpg,In a world full of Main... merko sab ata hai... Main expert hu  Be someone who says Ye meri expertise nahi hai,A
0563.jpg,I support Arsenal and this is the only cup I'll be getting this year,E
0564.jpg,HEROS WHO SAVED SHAH RUKH KHAN IN DIFFICULT TIMES ,D
0565.jpg,Girls while applying eyeliner: ,F
0566.jpg,Sometimes you just need a hug,F
0567.jpg,I am mature now.  Also me* Yellow to yellow,F
0568.jpg,taught thought thought through throughout thorough tough,F
0569.jpg,Friend: I Will Drive Today.   Me:,A
0570.jpg,"They pay me to build pipes, not to move rocks ",F
0571.jpg,Science is everything. I only believe in science.   Final exam result: Physics-34/100 Mathematics-20/100 Chemistry-40/100,C
0572.jpg,I don't know what this cow is going through but I can relate ,F
0573.jpg,School Graduation Post Graduation Job,C
0574.jpg,My Love    Wrong Person ,A
0575.jpg,CELEBRITIES AFTER LOSING BLUE TICK ON TWITTER ,A
0576.jpg,When you have to stop your best friend from getting into a wrong relationship,A
0577.jpg,"""Be careful with your heart"". Me, carrying my heart around like: ",F
0578.jpg,"When i finally propose to my crush  *le crush ""bhaiyya aap kitna drama krte ho""",F
0579.jpg,ANYONE CAN WIN IPL TROPHY BUT     BENGALURU CANT.  ,E
0580.jpg,When you're watching something on your laptop and you see your reflection ,F
0581.jpg,People with good heart are always unlucky in relationship ,A
0582.jpg,10 YEAR OLD ME CELEBRATING HOLIDAYS WITH MY FAMILY*    20 YEAR OLD ME DEALING WITH LONELINSS AWAY FROM MY HOMETOWN IN HOLIDAYS*,A
0583.jpg,GILL JOINING ELITE CLUB OF ALL FORMAT CENTURY BY INDIANS INCLUDING IPL    *KOHLI *ROHIT *KL *RAINA *GILL,E
0584.jpg,Not my problem...    When everything at work is falling apart but you've already clocked out for the day ,F
0585.jpg,When your crush rejects you and then her crush rejects her ,F
0586.jpg,Mumbai has Chor Bazar    London has British Museum ,F
0587.jpg,*My life  *That one happy moment  *My life again,F
0588.jpg,"You were always right mom     Mobile phones, internet, social media  really destroyed my life ",A
0589.jpg,Correct me if I am wrong   supervisor     *Corrects*    supervisor      supervisor ,C
0590.jpg,"From playing snakes on Nokia 1100 to dealing with snakes everyday, we all grew up! ",D
0591.jpg,When I realise ChatGPT can do my job    When I realise ChatGPT can do my job ,F
0592.jpg,My boyfriend: I can't wait to wake up every morning next to you.  Me when I wake up: ,F
0593.jpg,There's nothing wrong with talking to your toys   It's wrong when they start answering you ,F
0594.jpg,,F
0595.jpg,12th class kids in netflix  In Anurag Kashyap films,D
0596.jpg,Maybe if I work really hard     Go above and beyond     Never use sick days or vacation days     The company will notice and appreciate ,F
0597.jpg,My friend's answer sheet     My answer sheet ,D
0598.jpg,Introverts after a Conversation that lasted longer than 5 seconds,F
0599.jpg,research paper abstract rejected  Submitting the same abstract to another conference ,C
0600.jpg,Starting a phD  Finishing a PhD,C
0601.jpg,"They really said ""Copy Paste""  ",D
0602.jpg,Me in bed at 6 am on a Saturday. My toddler busting in,F
0603.jpg,When the group trip turns into a solo trip,F
0604.jpg,No image ,F
0605.jpg,can you help van persie and spot the ball?,E
0606.jpg,My psychologist calling his psychologist after having therapy with me,F
0607.jpg,When you've already typed something twice and your phone auto corrects it again,F
0608.jpg,Me when I catch up to the slow person holding up traffic in the fast lane,F
0609.jpg,Me telling my problems  My bestfriend ,F
0610.jpg,Mom: Be careful the food is hot! Me 5 seconds later:,F
0611.jpg,"When you see a funny meme, then Facebook refreshes, but you fing it again. I thought I'd lost you, boy!",F
0612.jpg,Me carrying my Oscar for acting like everything is fine,F
0613.jpg,5 yrs old me trying to see if the fridge bulb remains on after I close the door,F
0614.jpg,When its raining on sea   Sea   Clouds   Saale mera hi maal chura kar mujhe bech raha hai,F
0615.jpg,Beta ek zamana tha jab hum bhi garib hua karte the,F
0616.jpg,"DON'T KNOW WHAT HE'S GOING THROUGH BUT SAME  Some people will only ""love you"" as much as they can use you. Their loyalty ends where the benefits stop.",A
0617.jpg,Teacher: Why are you late? Me: Heavy traffic Teacher:Is that my fault? Me: Did I blame you?  The whole class:,F
0618.jpg,FORWARD ALWAYS  ALWAYS FORWARD.  GOT IT POPS,E
0619.jpg,Invisible tape: Well played,F
0620.jpg,me: i have to start eating healthier   me feeling even the slightest amount of stress:,F
0621.jpg,EVERYBODY WAS         KUNG FU FIGHTING,E
0622.jpg,How many papers have you downloaded today?  Eleven!   Were they useful?  I didn't read them!,C
0623.jpg,"Post- docs when they have to train the new PhD candidate  I'm going to be honest with you. I hate this place.  This zoo, this prison, this reality, whatever you want to call it. I can't stand it any longer.",C
0624.jpg,When developer finds a bug.   When tester finds a bug,F
0625.jpg,When the boss is coming and you need to pretend you're doing something,A
0626.jpg,70yrs old Rohit Sharma and Surya Kuma Yadav come to watch     Dhoni's last IPL match,E
0627.jpg,when you have to wear your mom's old clothes,D
0628.jpg,FA Cup        Other tournaments,E
0629.jpg,Virat Kohli is no more...  Hainn??  ...the captain of INDIA!,E
0630.jpg,How they show green tea tastes like.        what it actually tastes like,F
0631.jpg,Soul for sale: 21-years-old Dutch scholar puts his 'soul on sale' as an NFT,F
0632.jpg,"when you're sleeping and you hear your brother telling his girlfriend    ""I can sell this house for you""",F
0633.jpg,this bike has more seats than congress,B
0634.jpg,My nose every night.,F
0635.jpg,WHEN SOMEONE TALKS TO ME ABOUT MY CRUSH.   Wo mitra to unki hain! Lekin sneh mujhse jyada karti hain,F
0636.jpg,HARD WORK PAYS.       RAVITATION CANNOT BE IELD RESPONSIBLE FOR.    NOT GETTING UP ON TIME FOR STUDY AND EXAMS,C
0637.jpg,One month into relatinoship    One year into relationship,A
0638.jpg,"28 DAYS LATER.   EX_MACHINA.       ""A TENSE, THOUGH-PROVOKING THRILLER""",F
0639.jpg,"IN FOREIGN COUNTRIES- EXCUSE ME GENTLEMAN, THIS IS MY SEAT.   IN INDIA- ",A
0640.jpg,When you are sad and your friend checks to make sure you don't do anything stupid,A
0641.jpg,I cheated!!! So? What did you expect I love you I was also cheating on you. For the past 2 years  I was talking about exams,F
